source: https://github.com/markomanninen/strongs/blob/master/strongs/nt-strongs.csv
G1	--Alpha
G1829	vomit
G1830	search diligently
G1831	come (forth
G1832	be lawful
G1833	ask
G1834	declare
G1835	sixty
G1836	after
G1837	sound forth
G1838	use
G1839	amaze
G1840	be able
G1841	decease
G1842	destroy
G1843	confess
G1844	adjure
G1845	exorcist
G1846	break up
G1847	set at nought
G1848	contemptible
G1849	authority
G1850	exercise authority upon
G1851	principal
G1852	awake out of sleep
G1853	X out of sleep
G1854	away
G1855	out(-side
G1856	drive out
G1857	outer
G1858	keep the feast
G1859	feast
G1860	message
G1861	profess
G1862	promise
G1863	bring upon
G1864	earnestly contend for
G1865	gather thick together
G1866	Epenetus
G1867	commend
G1868	praise
G1869	exalt self
G1870	be ashamed
G1871	beg
G1872	follow
G1873	hear
G1874	hear
G1875	when
G1876	necessary
G1877	launch  out
G1878	put in mind
G1879	rest in
G1880	come again
G1881	rise up against
G1882	correction
G1883	above
G1884	relieve
G1885	province
G1886	habitation
G1887	day following
G1888	in the very act
G1889	Epaphras
G1890	foam out
G1891	Epaphroditus
G1892	raise
G1893	because
G1894	after that
G1895	forasmuch
G1896	behold
G1897	seeing
G1898	bringing in
G1899	after that
G1900	beyond
G1901	reach forth
G1902	be clothed upon
G1903	fisher's coat
G1904	come (in
G1905	ask (after
G1906	answer
G1907	give  heed unto
G1908	use despitefully
G1909	about
G1910	come
G1911	beat into
G1912	be chargeable to
G1913	set on
G1914	look upon
G1915	piece
G1916	cry
G1917	laying  in wait
G1918	marry
G1919	earthly
G1920	blow
G1921	(ac-
G1922	knowledge(-ing
G1923	superscription
G1924	inscription
G1925	shew
G1926	receive
G1927	dwelling  there
G1928	add to
G1929	deliver unto
G1930	set in order
G1931	go down
G1932	clemency
G1933	gentle
G1934	desire
G1935	appointed to death
G1936	laying  on
G1937	covet
G1938	+ lust after
G1939	concupiscence
G1940	set on
G1941	appeal
G1942	cloke
G1943	cover
G1944	accursed
G1945	impose
G1946	Epicurean
G1947	help
G1948	give sentence
G1949	catch
G1950	forget
G1951	call
G1952	fail
G1953	X forgetful
G1954	rest
G1955	interpretation
G1956	determine
G1957	testify
G1958	+ refresh self
G1959	take care of
G1960	diligently
G1961	abide
G1962	consent
G1963	thought
G1964	forswear self
G1965	perjured person
G1966	following
G1967	daily
G1968	fall into (on
G1969	rebuke
G1970	choke
G1971	desire
G1972	earnest  desire
G1973	longed for
G1974	great desire
G1975	come
G1976	sew on
G1977	cast upon
G1978	notable
G1979	victuals
G1980	look out
G1981	rest upon
G1982	overshadow
G1983	look diligently
G1984	the office of a ""bishop""
G1985	bishop
G1986	become uncircumcised
G1987	know
G1988	master
G1989	write (a letter
G1990	endued with knowledge
G1991	confirm
G1992	""epistle
G1993	stop mouths
G1994	come  again
G1995	conversion
G1996	gather
G1997	assembling  together
G1998	come running together
G1999	that which cometh upon
G2000	dangerous
G2001	be the more fierce
G2002	heap
G2003	authority
G2004	charge
G2005	accomplish
G2006	things which are needful
G2007	add unto
G2008	charge
G2009	punishment
G2010	give leave (liberty
G2011	commission
G2012	steward
G2013	obtain
G2014	appear
G2015	appearing
G2016	notable
G2017	give light
G2018	add
G2019	cry
G2020	begin to dawn
G2021	go about
G2022	--to pour upon:--pour in
G2023	add
G2024	supply
G2025	anoint
G2026	build thereon (thereupon
G2027	run aground
G2028	call
G2029	behold
G2030	eye-witness
G2031	X say
G2032	celestial
G2033	seven
G2034	seven times
G2035	seven thousand
G2036	answer
G2037	Erastus
G2038	commit
G2039	craft
G2040	labourer
G2041	deed
G2042	provoke
G2043	stick fast
G2044	utter
G2045	search
G2046	call
G2047	desert
G2048	desert
G2049	(bring to
G2050	desolation
G2051	strive
G2052	contention
G2053	wool
G2054	contention
G2055	goat
G2056	goat
G2057	Hermas
G2058	interpretation
G2059	interpret
G2060	Hermes
G2061	Hermogenes
G2062	creeping thing
G2063	red
G2064	accompany
G2065	ask
G2066	apparel
G2067	government
G2068	devour
G2069	Esli
G2070	are
G2071	shall  be
G2072	glass
G2073	evening
G2074	Esrom
G2075	be
G2076	are
G2077	be
G2078	ends of
G2079	point of death
G2080	in(-ner
G2081	inward
G2082	inner
G2083	fellow
G2084	man of other tongue
G2085	teach other doctrine
G2086	unequally yoke together with
G2087	altered
G2088	otherwise
G2089	after that
G2090	prepare
G2091	preparation
G2092	prepared
G2093	ready
G2094	year
G2095	good
G2096	Eve
G2097	declare
G2098	gospel
G2099	evangelist
G2100	please
G2101	acceptable
G2102	acceptably
G2103	Eubulus
G2104	more noble
G2105	fair weather
G2106	think good
G2107	desire
G2108	benefit
G2109	do good
G2110	benefactor
G2111	fit
G2112	anon
G2113	with a straight course
G2114	be of good cheer
G2115	of good cheer
G2116	governor
G2117	anon
G2118	righteousness
G2119	have leisure
G2120	opportunity
G2121	convenient
G2122	conveniently
G2123	easier
G2124	fear
G2125	fear
G2126	devout
G2127	bless
G2128	blessed
G2129	blessing  bounty
G2130	ready to distribute
G2131	Eunice
G2132	agree
G2133	benevolence
G2134	make…eunuch
G2135	eunuch
G2136	Euodias
G2137	prosper
G2138	easy to be intreated
G2139	which doth so easily beset
G2140	to do good
G2141	ability
G2142	wealth
G2143	grace
G2144	acceptable
G2145	X attend upon
G2146	make a fair show
G2147	find
G2148	Euroklydon
G2149	broad
G2150	godliness
G2151	show piety
G2152	devout
G2153	godly
G2154	easy to be understood
G2155	pitiful
G2156	decently
G2157	comeliness
G2158	comely
G2159	mightily
G2160	jesting
G2161	Eutychus
G2162	good report
G2163	of good report
G2164	bring forth abundantly
G2165	fare
G2166	Euphrates
G2167	gladness
G2168	thank(-ful
G2169	thankfulness
G2170	thankful
G2171	prayer
G2172	pray
G2173	profitable
G2174	be of good comfort
G2175	sweet savour (smell
G2176	left
G2177	leap on
G2178	once
G2179	of Ephesus
G2180	Ephesian
G2181	Ephesus
G2182	inventor
G2183	course
G2184	daily
G2185	reach
G2186	--assault
G2187	Ephraim
G2188	Ephphatha
G2189	enmity
G2190	enemy
G2191	viper
G2192	be (able
G2193	even (until
G2194	Zabulon
G2195	Zacchæus
G2196	Zara
G2197	Zacharias
G2198	life
G2199	Zebedee
G2200	hot
G2201	yoke
G2202	band
G2203	Jupiter
G2204	be fervent
G2205	emulation
G2206	affect
G2207	zealous
G2208	Zelotes
G2209	damage
G2210	be cast away
G2211	Zenas
G2212	be  about
G2213	question
G2214	question
G2215	tares
G2216	Zorobabel
G2217	blackness
G2218	pair of balances
G2219	leaven
G2220	leaven
G2221	take captive
G2222	life
G2223	girdle
G2224	gird
G2225	live
G2226	beast
G2227	make alive
G2228	and
G2229	surely
G2230	be governor
G2231	reign
G2232	governor
G2233	account
G2234	gladly
G2235	already
G2236	most  gladly
G2237	lust
G2238	mint
G2239	manners
G2240	come
G2241	Eli
G2242	Heli
G2243	Elias
G2244	age
G2245	how  great
G2246	+ east
G2247	nail
G2248	our
G2249	us
G2250	age
G2251	our
G2252	be
G2253	half dead
G2254	our
G2255	half
G2256	half an hour
G2257	our
G2258	+ agree
G2259	when
G2260	than
G2261	gentle
G2262	Er
G2263	quiet
G2264	Herod
G2265	Herodians
G2266	Herodias
G2267	Herodion
G2268	Esaias
G2269	Esau
G2270	cease
G2271	quietness
G2272	peaceable
G2273	whether
G2274	be inferior
G2275	diminishing
G2276	less
G2277	let … be
G2278	roar
G2279	fame
G2280	Thaddæus
G2281	sea
G2282	cherish
G2283	Thamar
G2284	amaze
G2285	X amazed
G2286	deadly
G2287	deadly
G2288	X deadly
G2289	become dead
G2290	bury
G2291	Thara
G2292	be bold
G2293	be of good cheer
G2294	courage
G2295	admiration
G2296	admire
G2297	wonderful thing
G2298	marvel
G2299	goddess
G2300	behold
G2301	make a gazing stock
G2302	spectacle
G2303	brimstone
G2304	divine
G2305	godhead
G2306	brimstone
G2307	desire
G2308	will
G2309	desire
G2310	foundation
G2311	found
G2312	taught of God
G2313	fight against God
G2314	to fight against God
G2315	given by inspiration of God
G2316	X exceeding
G2317	godliness
G2318	worshipper of God
G2319	hater of God
G2320	godhead
G2321	Theophilus
G2322	healing
G2323	cure
G2324	servant
G2325	reap
G2326	harvest
G2327	reaper
G2328	warm(-ed
G2329	heat
G2330	summer
G2331	Thessalonian
G2332	Thessalonica
G2333	Theudas
G2334	behold
G2335	sight
G2336	sheath
G2337	suck
G2338	female
G2339	trap
G2340	catch
G2341	fight with wild beasts
G2342	(venomous
G2343	lay up
G2344	treasure
G2345	handle
G2346	afflict
G2347	afflicted
G2348	be dead
G2349	mortal
G2350	make ado
G2351	tumult
G2352	bruise
G2353	cattle
G2354	lament
G2355	lamentation
G2356	religion
G2357	religious
G2358	to triumph
G2359	hair
G2360	trouble
G2361	great drop
G2362	seat
G2363	Thyatira
G2364	daughter
G2365	little  daughter
G2366	tempest
G2367	thyine
G2368	incense
G2369	censer
G2370	burn incense
G2371	be highly displeased
G2372	fierceness
G2373	be wroth
G2374	door
G2375	shield
G2376	window
G2377	that kept the door
G2378	sacrifice
G2379	altar
G2380	kill
G2381	Thomas
G2382	breast-plate
G2383	Jairus
G2384	also an Israelite:--Jacob
G2385	James
G2386	healing
G2387	Jambres
G2388	Janna
G2389	Jannes
G2390	heal
G2391	Jared
G2392	cure
G2393	jasper
G2394	Jason
G2395	physician
G2396	behold
G2397	countenance
G2398	X his acquaintance
G2399	ignorant
G2400	--behold
G2401	Idumæa
G2402	sweat
G2403	Jezabel
G2404	Hierapolis
G2405	office of the priesthood
G2406	priesthood
G2407	execute the priest's office
G2408	Jeremiah
G2409	priest
G2410	Jericho
G2411	temple
G2412	as becometh holiness
G2413	holy
G2414	Jerusalem
G2415	of Jerusalem
G2416	commit sacrilege
G2417	robber of churches
G2418	minister
G2419	Jerusalem
G2420	priesthood
G2421	Jesse
G2422	Jephthah
G2423	Jechonias
G2424	Jesus
G2425	able
G2426	sufficiency
G2427	make able
G2428	supplication
G2429	moisture
G2430	Iconium
G2431	cheerful
G2432	cheerfulness
G2433	be merciful
G2434	propitiation
G2435	mercyseat
G2436	be it far
G2437	Illyricum
G2438	latchet
G2439	clothe
G2440	apparel
G2441	apparel
G2442	be affectionately desirous
G2443	albeit
G2444	wherefore
G2445	Joppa
G2446	Jordan
G2447	poison
G2448	Judah
G2449	Judæa
G2450	live as the Jews
G2451	Jewish
G2452	as do the Jews
G2453	Jew
G2454	Jews' religion
G2455	Juda(-h
G2456	Julia
G2457	Julius
G2458	Junias
G2459	Justus
G2460	horseman
G2461	horse
G2462	horse
G2463	rainbow
G2464	Isaac
G2465	equal unto the angels
G2466	Issachar
G2467	know
G2468	+ agree
G2469	Iscariot
G2470	+ agree
G2471	equal
G2472	like precious
G2473	likeminded
G2474	Israel
G2475	Israelite
G2476	abide
G2477	see
G2478	boisterous
G2479	ability
G2480	be able
G2481	it may be
G2482	Italy
G2483	Italian
G2484	Ituræa
G2485	little  fish
G2486	fish
G2487	step
G2488	Joatham
G2489	Joanna
G2490	Joannas
G2491	John
G2492	Job
G2493	Joel
G2494	Jonan
G2495	Jonas
G2496	Joram
G2497	Jorim
G2498	Josaphat
G2499	Jose
G2500	Joses
G2501	Joseph
G2502	Josias
G2503	jot
G2504	(and
G2505	as
G2506	destruction
G2507	cast (pull
G2508	purge
G2509	(even
G2510	fasten on
G2511	clean
G2512	cleansing
G2513	clean
G2514	purification
G2515	seat
G2516	sit
G2517	after
G2518	sleep
G2519	master
G2520	convenient
G2521	dwell
G2522	daily
G2523	continue
G2524	let down
G2525	appoint
G2526	according to that
G2527	at all
G2528	arm
G2529	clearly see
G2530	(according
G2531	according to
G2532	and
G2533	Caiaphas
G2534	and
G2535	Cain
G2536	Cainan
G2537	new
G2538	newness
G2539	and yet
G2540	X always
G2541	Cæsar
G2542	Cæsarea
G2543	although
G2544	nevertheless
G2545	burn
G2546	and there
G2547	and afterward
G2548	and him (other
G2549	evil
G2550	malignity
G2551	curse
G2552	suffering affliction
G2553	be afflicted
G2554	do evil
G2555	evil-doer
G2556	bad
G2557	evil-doer
G2558	which suffer adversity
G2559	make evil affected
G2560	amiss
G2561	affliction
G2562	stubble
G2563	pen
G2564	bid
G2565	good olive tree
G2566	very well
G2567	teacher of good things
G2568	fair havens
G2569	well doing
G2570	X better
G2571	vail
G2572	cover
G2573	good
G2574	camel
G2575	furnace
G2576	close
G2577	faint
G2578	bow
G2579	and  if
G2580	Cana
G2581	Canaanite )
G2582	Candace
G2583	line
G2584	Capernaum
G2585	corrupt
G2586	smoke
G2587	Cappadocia
G2588	heart
G2589	which knowest the hearts
G2590	fruit
G2591	Carpus
G2592	be (bear
G2593	fruitful
G2594	endure
G2595	mote
G2596	about
G2597	come (get
G2598	cast down
G2599	burden
G2600	descent
G2601	bring  down
G2602	conceive
G2603	beguile of reward
G2604	setter forth
G2605	declare
G2606	laugh to scorn
G2607	blame
G2608	break
G2609	bring (down
G2610	subdue
G2611	bind up
G2612	far more evident
G2613	condemn
G2614	follow after
G2615	bring into bondage
G2616	oppress
G2617	confound
G2618	burn (up
G2619	cover
G2620	boast
G2621	keep
G2622	break
G2623	shut up
G2624	divide by lot
G2625	sit down
G2626	overflow
G2627	flood
G2628	follow
G2629	cut
G2630	cast down headlong
G2631	condemnation
G2632	condemn
G2633	condemn
G2634	exercise dominion over
G2635	speak against
G2636	backbiting
G2637	backbiter
G2638	apprehend
G2639	take into the number
G2640	remnant
G2641	forsake
G2642	stone
G2643	atonement
G2644	reconcile
G2645	residue
G2646	guestchamber
G2647	destroy
G2648	consider
G2649	witness against
G2650	abide
G2651	alone
G2652	curse
G2653	curse
G2654	consume
G2655	be burdensome
G2656	beckon
G2657	behold
G2658	attain
G2659	slumber
G2660	prick
G2661	count worthy
G2662	trample
G2663	rest
G2664	cease
G2665	vail
G2666	devour
G2667	fall
G2668	arrive
G2669	oppress
G2670	drown
G2671	curse(-d
G2672	curse
G2673	abolish
G2674	number with
G2675	fit
G2676	perfection
G2677	perfecting
G2678	beckon
G2679	dig down
G2680	build
G2681	lodge
G2682	nest
G2683	shadow
G2684	spy out
G2685	spy
G2686	deal subtilly with
G2687	appease
G2688	behaviour
G2689	apparel
G2690	overthrow
G2691	begin to wax wanton against
G2692	overthrow
G2693	overthrow
G2694	hale
G2695	slay
G2696	seal
G2697	possession
G2698	do
G2699	concision
G2700	thrust through
G2701	run down
G2702	fall
G2703	flee
G2704	--corrupt
G2705	kiss
G2706	despise
G2707	despiser
G2708	pour
G2709	under the earth
G2710	abuse
G2711	cool
G2712	wholly given to idolatry
G2713	before
G2714	before
G2715	exercise authority
G2716	cause
G2718	come
G2719	devour
G2720	guide
G2721	make insurrection against
G2722	have
G2723	accuse
G2724	accusation
G2725	accuser
G2726	heaviness
G2727	inform
G2728	canker
G2729	prevail
G2730	dwell
G2731	dwelling
G2732	habitation
G2733	habitation
G2734	behold as in a glass
G2735	very worthy deed
G2736	beneath
G2737	lower
G2738	heat
G2739	scorch
G2740	be burned
G2741	fervent heat
G2742	heat
G2743	sear with a hot iron
G2744	boast
G2745	boasting
G2746	boasting
G2747	Cencrea
G2748	Cedron
G2749	be (appointed
G2750	graveclothes
G2751	shear
G2752	shout
G2753	bid
G2754	vain-glory
G2755	desirous of vain-glory
G2756	empty
G2757	vain
G2758	make (of none effect
G2759	prick
G2760	centurion
G2761	in vain
G2762	tittle
G2763	potter
G2764	of a potter
G2765	pitcher
G2766	tiling
G2767	fill
G2768	horn
G2769	husk
G2770	gain
G2771	gain
G2772	money
G2773	changer of money
G2774	sum
G2775	wound in the head
G2776	head
G2777	volume
G2778	tribute
G2779	garden
G2780	gardener
G2781	comb
G2782	preaching
G2783	preacher
G2784	preacher
G2785	whale
G2786	Cephas
G2787	ark
G2788	harp
G2789	harp
G2790	harper
G2791	Cilicia
G2792	cinnamon
G2793	be in danger
G2794	peril
G2795	move
G2796	moving
G2797	Cis
G2798	branch
G2799	bewail
G2800	breaking
G2801	broken
G2802	Clauda
G2803	Claudia
G2804	Claudius
G2805	wailing
G2806	break
G2807	key
G2808	shut
G2809	theft
G2810	Cleopas
G2811	glory
G2812	thief
G2813	steal
G2814	branch
G2815	Clement
G2816	be heir
G2817	inheritance
G2818	heir
G2819	heritage
G2820	obtain an inheritance
G2821	calling
G2822	called
G2823	oven
G2824	part
G2825	bed
G2826	bed
G2827	bow
G2828	company
G2829	theft
G2830	raging
G2831	toss to and fro
G2832	Cleophas
G2833	X itching
G2834	Cnidus
G2835	farthing
G2836	belly
G2837	(be a-
G2838	taking of rest
G2839	common
G2840	call common
G2841	communicate
G2842	communicate
G2843	willing to communicate
G2844	companion
G2845	bed
G2846	+ chamberlain
G2847	scarlet (colour
G2848	corn
G2849	punish
G2850	X flattering
G2851	punishment
G2852	buffet
G2853	cleave
G2854	eyesalve
G2855	changer
G2856	shorten
G2857	Colosse
G2858	Colossian
G2859	bosom
G2860	swim
G2861	pool
G2862	colony
G2863	have long hair
G2864	hair
G2865	bring
G2866	+ began to amend
G2867	whiten
G2868	dust
G2869	cease
G2870	lamentation
G2871	slaughter
G2872	labour
G2873	labour
G2874	dung
G2875	cut down
G2876	raven
G2877	damsel
G2878	Corban
G2879	Core
G2880	eat enough
G2881	Corinthian
G2882	Corinth
G2883	Cornelius
G2884	measure
G2885	adorn
G2886	worldly
G2887	of good behaviour
G2888	ruler
G2889	adorning
G2890	Quartus
G2891	cumi
G2892	watch
G2893	lighten
G2894	basket
G2895	bed
G2896	cry
G2897	surfeiting
G2898	Calvary
G2899	border
G2900	mighty
G2901	be strengthened
G2902	hold (by
G2903	most excellent
G2904	dominion
G2905	cry out
G2906	clamour
G2907	flesh
G2908	better
G2909	best
G2910	hang
G2911	steep place
G2912	Crete
G2913	Crescens
G2914	Crete
G2915	barley
G2916	barley
G2917	avenge
G2918	lily
G2919	avenge
G2920	accusation
G2921	Crispus
G2922	to judge
G2923	judge
G2924	discerner
G2925	knock
G2926	secret
G2927	hid
G2928	hide
G2929	be clear as crystal
G2930	crystal
G2931	in secret
G2932	obtain
G2933	possession
G2934	beast
G2935	possessor
G2936	create
G2937	building
G2938	creature
G2939	Creator
G2940	sleight
G2941	government
G2942	master
G2943	about
G2944	compass
G2945	round about
G2946	wallowing
G2947	wallow
G2948	maimed
G2949	wave
G2950	cymbal
G2951	cummin
G2952	dog
G2953	of Cyprus
G2954	Cyprus
G2955	stoop
G2956	of Cyrene
G2957	Cyrene
G2958	Cyrenius
G2959	lady
G2960	Lord's
G2961	have dominion over
G2962	God
G2963	dominion
G2964	confirm
G2965	dog
G2966	carcase
G2967	forbid
G2968	town
G2969	town
G2970	revelling
G2971	gnat
G2972	Cos
G2973	Cosam
G2974	deaf
G2975	his lot be
G2976	Lazarus
G2977	privily
G2978	storm
G2979	kick
G2980	preach
G2981	saying
G2982	lama
G2983	accept
G2984	Lamech
G2985	lamp
G2986	bright
G2987	brightness
G2988	sumptuously
G2989	give light
G2990	be hid
G2991	hewn in stone
G2992	people
G2993	Laodicea
G2994	Laodicean
G2995	throat
G2996	Lasea
G2997	burst asunder
G2998	hew
G2999	service
G3000	serve
G3001	herb
G3002	Lebbæus
G3003	legion
G3004	ask
G3005	remnant
G3006	smooth
G3007	be destitute
G3008	minister
G3009	ministration
G3010	ministering
G3011	minister
G3012	towel
G3013	scale
G3014	leprosy
G3015	leper
G3016	mite
G3017	Levi
G3018	Levi
G3019	Levite
G3020	Levitical
G3021	make white
G3022	white
G3023	lion
G3024	+ forget
G3025	winepress
G3026	idle tale
G3027	robber
G3028	receiving
G3029	exceeding
G3030	frankincense
G3031	censer
G3032	Libertine
G3033	Libya
G3034	stone
G3035	of stone
G3036	stone
G3037	(mill-
G3038	Pavement
G3039	grind to powder
G3040	haven
G3041	lake
G3042	dearth
G3043	linen
G3044	Linus
G3045	dainty
G3046	pound
G3047	southwest
G3048	collection
G3049	conclude
G3050	reasonable
G3051	oracle
G3052	eloquent
G3053	imagination
G3054	strive about words
G3055	strife of words
G3056	account
G3057	spear
G3058	revile
G3059	railing
G3060	railer
G3061	pestilence
G3062	other
G3063	besides
G3064	from henceforth
G3065	Lucas
G3066	Lucius
G3067	washing
G3068	wash
G3069	Lydda
G3070	Lydia
G3071	Lycaonia
G3072	in the speech of Lycaonia
G3073	Lycia
G3074	wolf
G3075	make havock of
G3076	cause grief
G3077	grief
G3078	Lysanias
G3079	Lysias
G3080	to be loosed
G3081	it is better
G3082	Lystra
G3083	ransom
G3084	redeem
G3085	+ redeemed
G3086	deliverer
G3087	candlestick
G3088	candle
G3089	break
G3090	Lois
G3091	Lot
G3092	Maath
G3093	Magdala
G3094	Magdalene
G3095	sorcery
G3096	use sorcery
G3097	sorcerer
G3098	Magog
G3099	Madian
G3100	be disciple
G3101	disciple
G3102	disciple
G3103	Mathusala
G3104	Mainan
G3105	be beside self
G3106	call blessed
G3107	blessed
G3108	blessedness
G3109	Macedonia
G3110	of Macedonia
G3111	shambles
G3112	far
G3113	afar off
G3114	bear  long
G3115	longsuffering
G3116	patiently
G3117	far
G3118	live long
G3119	disease
G3120	effeminate
G3121	Maleleel
G3122	chiefly
G3123	+ better
G3124	Malchus
G3125	grandmother
G3126	mammon
G3127	Manaen
G3128	Manasses
G3129	learn
G3130	X mad
G3131	manna
G3132	by soothsaying
G3133	fade away
G3134	Maran-atha
G3135	pearl
G3136	Martha
G3137	Mary
G3138	Marcus
G3139	marble
G3140	charge
G3141	record
G3142	to be testified
G3143	take to record
G3144	martyr
G3145	gnaw
G3146	scourge
G3147	scourge
G3148	plague
G3149	pap
G3150	vain jangling
G3151	vain talker
G3152	vain
G3153	vanity
G3154	become vain
G3155	in vain
G3156	Matthew
G3157	Matthan
G3158	Mathat
G3159	Matthias
G3160	Mattatha
G3161	Mattathias
G3162	sword
G3163	fighting
G3164	fight
G3165	I
G3166	boast great things
G3167	great things
G3168	magnificence
G3169	excellent
G3170	enlarge
G3171	greatly
G3172	majesty
G3173	exceedingly
G3174	greatness
G3175	great men
G3176	exceeding great
G3177	interpret
G3178	drunkenness
G3179	put out
G3180	wile
G3181	border
G3182	be drunk
G3183	drunkard
G3184	drink well
G3185	the more
G3186	greater
G3187	elder
G3188	ink
G3189	black
G3190	Meleas
G3191	imagine
G3192	honey
G3193	honeycomb
G3194	Melita
G3195	about
G3196	member
G3197	Melchi
G3198	Melchisedec
G3199	care
G3200	parchment
G3201	find fault
G3202	complainer
G3303	even
G3304	nay but
G3305	also
G3306	abide
G3307	deal
G3308	care
G3309	(be
G3310	part
G3311	dividing asunder
G3312	divider
G3313	behalf
G3314	noon
G3315	confirm
G3316	mediator
G3317	midnight
G3318	Mesopotamia
G3319	among
G3320	middle wall
G3321	midst of heaven
G3322	be about the midst
G3323	Messias
G3324	full
G3325	fill
G3326	after
G3327	depart
G3328	change mind
G3329	turn about
G3330	give
G3331	change
G3332	depart
G3333	call (for
G3334	move away
G3335	eat
G3336	taking
G3337	change
G3338	repent
G3339	change
G3340	repent
G3341	repentance
G3342	between
G3343	call  for
G3344	pervert
G3345	transfer
G3346	carry over
G3347	afterward
G3348	be partaker
G3349	be of doubtful mind
G3350	X brought
G3351	carry away
G3352	fellowship
G3353	fellow
G3354	figuratively
G3355	firkin
G3356	have compassion
G3357	a little
G3358	measure
G3359	forehead
G3360	till
G3361	any but
G3362	X before
G3363	albeit not
G3364	any more
G3365	not so
G3366	neither
G3367	any (man
G3368	never
G3369	not yet
G3370	Mede
G3371	any longer
G3372	length  length
G3373	grow up
G3374	sheepskin
G3375	+ surely
G3376	month
G3377	shew
G3378	neither
G3379	if peradventure
G3380	not yet
G3381	lest (by any means
G3382	thigh
G3383	neither
G3384	mother
G3385	not (the particle usually not expressed
G3386	how much more
G3387	any
G3388	womb
G3389	murderer of mothers
G3390	chiefest city
G3391	a
G3392	defile
G3393	pollution
G3394	uncleanness
G3395	mixture
G3396	mingle
G3397	a
G3398	least
G3399	Miletus
G3400	mile
G3401	follow
G3402	follower
G3403	be mindful
G3404	hate
G3405	recompence of reward
G3406	rewarder
G3407	hired servant
G3408	hire
G3409	hire
G3410	hired house
G3411	hired servant
G3412	Mitylene
G3413	Michael
G3414	pound
G3415	be mindful
G3416	Mnason
G3417	mention
G3418	grave
G3419	grave
G3420	remembrance
G3421	make mention; be mindful
G3422	memorial
G3423	espouse
G3424	having an impediment in his speech
G3425	hardly
G3426	bushel
G3427	I
G3428	adulteress(-ous
G3429	commit adultery
G3430	adultery
G3431	commit adultery
G3432	adulterer
G3433	hardly
G3434	Moloch
G3435	defile
G3436	filthiness
G3437	quarrel
G3438	abode
G3439	only (begotten
G3440	alone
G3441	alone
G3442	with one eye
G3443	be desolate
G3444	form
G3445	form
G3446	form
G3447	make a calf
G3448	calf
G3449	painfulness
G3450	I
G3451	musician
G3452	marrow
G3453	instruct
G3454	fable
G3455	roar
G3456	mock
G3457	mill
G3458	millstone
G3459	mill
G3460	Myra
G3461	ten thousand
G3462	anoint
G3463	ten thousand
G3464	ointment
G3465	Mysia
G3466	mystery
G3467	cannot see far off
G3468	stripe
G3469	blame
G3470	blemish
G3471	become fool
G3472	foolishness
G3473	foolish talking
G3474	fool(-ish
G3475	Moses
G3476	Naasson
G3477	Nagge
G3478	Nazareth
G3479	of Nazareth
G3480	Nazarene
G3481	Nathan
G3482	Nathanael
G3483	even so
G3484	Nain
G3485	shrine
G3486	Naum
G3487	nard
G3488	Narcissus
G3489	make  shipwreck
G3490	owner of a ship
G3491	ship
G3492	sailor
G3493	Nachor
G3494	young man
G3495	young man
G3496	Neapolis
G3497	Naaman
G3498	dead
G3499	be dead
G3500	deadness
G3501	new
G3502	young
G3503	youth
G3504	novice
G3505	Nero
G3506	beckon
G3507	cloud
G3508	Nephthalim
G3509	cloud
G3510	reins
G3511	worshipper
G3512	youthful
G3513	I protest by
G3514	spin
G3515	be a child
G3516	babe
G3517	Nereus
G3518	Neri
G3519	island
G3520	island
G3521	fast
G3522	fast
G3523	fasting
G3524	sober
G3525	be sober
G3526	Niger
G3527	Nicanor
G3528	conquer
G3529	victory
G3530	Nicodemus
G3531	Nicolaitane
G3532	Nicolaus
G3533	Nicopolis
G3534	victory
G3535	Nineve
G3536	of Nineve
G3537	bason
G3538	wash
G3539	consider
G3540	device
G3541	bastard
G3542	X eat
G3543	suppose
G3544	about the law
G3545	lawfully
G3546	money
G3547	doctor  of the law
G3548	giving of the law
G3549	establish
G3550	lawgiver
G3551	law
G3552	dote
G3553	disease
G3554	disease
G3555	brood
G3556	chicken
G3557	keep back
G3558	south
G3559	admonition
G3560	admonish
G3561	new moon
G3562	discreetly
G3563	mind
G3564	Nymphas
G3565	bride
G3566	bridegroom
G3567	bridechamber
G3568	henceforth
G3569	now
G3570	now
G3571	night
G3572	pierce
G3573	slumber
G3574	night and day
G3575	Noe
G3576	dull
G3577	back
G3578	lodging
G3579	entertain
G3580	lodge strangers
G3581	host
G3582	pot
G3583	dry up
G3584	dry land
G3585	of wood
G3586	staff
G3587	shave
G3588	the
G3589	fourscore
G3590	eighth
G3591	weight
G3592	he
G3593	journey
G3594	guide
G3595	guide
G3596	go on a journey
G3597	journey
G3598	journey
G3599	tooth
G3600	sorrow
G3601	sorrow
G3602	mourning
G3603	called
G3604	Ozias
G3605	stink
G3606	from thence
G3607	sheet
G3608	linen clothes
G3609	of the  house
G3610	servant
G3611	dwell
G3612	prison
G3613	habitation
G3614	home
G3615	they  of  household
G3616	guide the house
G3617	goodman
G3618	build(-er
G3619	building
G3620	edifying
G3621	be steward
G3622	dispensation
G3623	chamberlain
G3624	home
G3625	earth
G3626	keeper at home
G3627	have compassion on
G3628	mercy
G3629	merciful
G3630	winebibber
G3631	wine
G3632	excess of wine
G3633	suppose
G3634	so
G3635	delay
G3636	grievous
G3637	the eighth day
G3638	eight
G3639	destruction
G3640	of little faith
G3641	+ almost
