verb.3PAOP	verb, third, present, active, optative, plural
verb.3PAOS	verb, third, present, active, optative, singular
verb.3PASP	verb, third, present, active, subjunctive, plural
verb.3PASS	verb, third, present, active, subjunctive, singular
verb.3PMDP	verb, third, present, middle, imperative, plural
verb.3PMDS	verb, third, present, middle, imperative, singular
verb.3PMIP	verb, third, present, middle, indicative, plural
verb.3PMIS	verb, third, present, middle, indicative, singular
verb.3PMOP	verb, third, present, middle, optative, plural
verb.3PMOS	verb, third, present, middle, optative, singular
verb.3PMSP	verb, third, present, middle, subjunctive, plural
verb.3PMSS	verb, third, present, middle, subjunctive, singular
verb.3PPDP	verb, third, present, passive, imperative, plural
verb.3PPDS	verb, third, present, passive, imperative, singular
verb.3PPIP	verb, third, present, passive, indicative, plural
verb.3PPIS	verb, third, present, passive, indicative, singular
verb.3PPSP	verb, third, present, passive, subjunctive, plural
verb.3PPSS	verb, third, present, passive, subjunctive, singular
verb.3XAIP	verb, third, perfect, active, indicative, plural
verb.3XAIS	verb, third, perfect, active, indicative, singular
verb.3XMIP	verb, third, perfect, middle, indicative, plural
verb.3XMIS	verb, third, perfect, middle, indicative, singular
verb.3XPIP	verb, third, perfect, passive, indicative, plural
verb.3XPIS	verb, third, perfect, passive, indicative, singular
verb.3YAIP	verb, third, pluperfect, active, indicative, plural
verb.3YAIS	verb, third, pluperfect, active, indicative, singular
verb.3YMIP	verb, third, pluperfect, middle, indicative, plural
verb.3YMIS	verb, third, pluperfect, middle, indicative, singular
verb.3YPIS	verb, third, pluperfect, passive, indicative, singular
verb.AAN	verb, aorist, active, infinitive
verb.AAPAPF	verb, aorist, active, participle, accusative, plural, feminine
verb.AAPAPM	verb, aorist, active, participle, accusative, plural, masculine
verb.AAPAPN	verb, aorist, active, participle, accusative, plural, neuter
verb.AAPASF	verb, aorist, active, participle, accusative, singular, feminine
verb.AAPASM	verb, aorist, active, participle, accusative, singular, masculine
verb.AAPASN	verb, aorist, active, participle, accusative, singular, neuter
verb.AAPDPF	verb, aorist, active, participle, dative, plural, feminine
verb.AAPDPM	verb, aorist, active, participle, dative, plural, masculine
verb.AAPDSF	verb, aorist, active, participle, dative, singular, feminine
verb.AAPDSM	verb, aorist, active, participle, dative, singular, masculine
verb.AAPGPM	verb, aorist, active, participle, genitive, plural, masculine
verb.AAPGSF	verb, aorist, active, participle, genitive, singular, feminine
verb.AAPGSM	verb, aorist, active, participle, genitive, singular, masculine
verb.AAPGSN	verb, aorist, active, participle, genitive, singular, neuter
verb.AAPNPF	verb, aorist, active, participle, nominative, plural, feminine
verb.AAPNPM	verb, aorist, active, participle, nominative, plural, masculine
verb.AAPNPN	verb, aorist, active, participle, nominative, plural, neuter
verb.AAPNSF	verb, aorist, active, participle, nominative, singular, feminine
verb.AAPNSM	verb, aorist, active, participle, nominative, singular, masculine
verb.AAPNSN	verb, aorist, active, participle, nominative, singular, neuter
verb.AMN	verb, aorist, middle, infinitive
verb.AMPAPM	verb, aorist, middle, participle, accusative, plural, masculine
verb.AMPAPN	verb, aorist, middle, participle, accusative, plural, neuter
verb.AMPASF	verb, aorist, middle, participle, accusative, singular, feminine
verb.AMPASM	verb, aorist, middle, participle, accusative, singular, masculine
verb.AMPASN	verb, aorist, middle, participle, accusative, singular, neuter
verb.AMPDPM	verb, aorist, middle, participle, dative, plural, masculine
verb.AMPDPN	verb, aorist, middle, participle, dative, plural, neuter
verb.AMPGPF	verb, aorist, middle, participle, genitive, plural, feminine
verb.AMPGPM	verb, aorist, middle, participle, genitive, plural, masculine
verb.AMPGPN	verb, aorist, middle, participle, genitive, plural, neuter
verb.AMPGSF	verb, aorist, middle, participle, genitive, singular, feminine
verb.AMPGSM	verb, aorist, middle, participle, genitive, singular, masculine
verb.AMPGSN	verb, aorist, middle, participle, genitive, singular, neuter
verb.AMPNPF	verb, aorist, middle, participle, nominative, plural, feminine
verb.AMPNPM	verb, aorist, middle, participle, nominative, plural, masculine
verb.AMPNSF	verb, aorist, middle, participle, nominative, singular, feminine
verb.AMPNSM	verb, aorist, middle, participle, nominative, singular, masculine
verb.AMPNSN	verb, aorist, middle, participle, nominative, singular, neuter
verb.APN	verb, aorist, passive, infinitive
verb.APPAPM	verb, aorist, passive, participle, accusative, plural, masculine
verb.APPAPN	verb, aorist, passive, participle, accusative, plural, neuter
verb.APPASF	verb, aorist, passive, participle, accusative, singular, feminine
verb.APPASM	verb, aorist, passive, participle, accusative, singular, masculine
verb.APPASN	verb, aorist, passive, participle, accusative, singular, neuter
verb.APPDPN	verb, aorist, passive, participle, dative, plural, neuter
verb.APPDSF	verb, aorist, passive, participle, dative, singular, feminine
verb.APPDSM	verb, aorist, passive, participle, dative, singular, masculine
verb.APPDSN	verb, aorist, passive, participle, dative, singular, neuter
verb.APPGPF	verb, aorist, passive, participle, genitive, plural, feminine
verb.APPGPM	verb, aorist, passive, participle, genitive, plural, masculine
verb.APPGPN	verb, aorist, passive, participle, genitive, plural, neuter
verb.APPGSF	verb, aorist, passive, participle, genitive, singular, feminine
verb.APPGSM	verb, aorist, passive, participle, genitive, singular, masculine
verb.APPGSN	verb, aorist, passive, participle, genitive, singular, neuter
verb.APPNPF	verb, aorist, passive, participle, nominative, plural, feminine
verb.APPNPM	verb, aorist, passive, participle, nominative, plural, masculine
verb.APPNPN	verb, aorist, passive, participle, nominative, plural, neuter
